Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
15/07/2021,08:53:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,08:54:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,08:55:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,08:56:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,08:57:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,08:58:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,08:59:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:00:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:01:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:02:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:03:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:04:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:05:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:06:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:07:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:08:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:09:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:10:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:11:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:12:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:13:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:14:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:15:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:16:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:17:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:18:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:19:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:20:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:21:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:22:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:23:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:24:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:25:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:26:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:27:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:28:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:29:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:30:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:31:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:32:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:33:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:34:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:35:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:36:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:37:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:38:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:39:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:40:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:41:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:42:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:43:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:44:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:45:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:46:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,09:47:00,"0","0","0","0","0","60","0","0","0","0"
